,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2014,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,,,,,,,
,130,11000,Seguridad y Protección Civil Retribuciones básicas,Seguridad y Protección Civil Retribuciones básicas,,130,1,29999.9,0,29999.9,2457.13
,,,,,,,,,,,
,130,12003,Seguridad  y Protección Civil. Sueldos del Grupo C1,Seguridad  y Protección Civil. Sueldos del Grupo C1,,130,1,10080.21,0,10080.21,9884.84
,,,,,,,,,,,
,130,12004,Seguridad  y Protección Civil. Sueldos del Grupo C2,Seguridad  y Protección Civil. Sueldos del Grupo C2,,130,1,444643.5,0,444643.5,407011.65
,,,,,,,,,,,
,130,12006,Seguridad  y Protección Civil. Trienios,Seguridad  y Protección Civil. Trienios,,130,1,38542.9,0,38542.9,36118.15
,,,,,,,,,,,
,130,12100,Seguridad  y Protección Civil. Complemento de destino,Seguridad  y Protección Civil. Complemento de destino,,130,1,243943.56,0,243943.56,318354.34
,,,,,,,,,,,
,130,12101,Seguridad y Protección Civil. Complemento específico,Seguridad y Protección Civil. Complemento específico,,130,1,1333708.74,0,1333708.74,1144224.22
,,,,,,,,,,,
,130,13000,Seguridad  y Protección Civil..Salario Base,Seguridad  y Protección Civil..Salario Base,,130,1,7678.58,0,7678.58,3716.4
,,,,,,,,,,,
,130,13002,Seguridad  y Protección Civil..Otras remuneraciones,Seguridad  y Protección Civil..Otras remuneraciones,,130,1,9361.94,0,9361.94,4844.19
,,,,,,,,,,,
,130,13006,Seguridad  y Protección Civil..Trienios,Seguridad  y Protección Civil..Trienios,,130,1,754.32,0,754.32,365.07
,,,,,,,,,,,
,130,15000,Seguridad  y Protección Civil. Productividad,Seguridad  y Protección Civil. Productividad,,130,1,40846,0,40846,62794
,,,,,,,,,,,
,130,15100,Seguridad  y Protección Civil. Gratificaciones,Seguridad  y Protección Civil. Gratificaciones,,130,1,40000,4840,44840,33386.04
,,,,,,,,,,,
,130,20400,Seguridad  y Protección Civil. Alquiler de vehiculos,Seguridad  y Protección Civil. Alquiler de vehiculos,,130,2,37256.04,0,37256.04,37256.04
,,,,,,,,,,,
,130,21300,Seguridad  y Protección Civil. Mantenimiento equipos de transmisión,Seguridad  y Protección Civil. Mantenimiento equipos de transmisión,,130,2,1000,0,1000,0
,,,,,,,,,,,
,130,21301,"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje","Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",,130,2,6000,0,6000,2913.14
,,,,,,,,,,,
,130,21303,Seguridad  y Protección Civil. Mantenimiento aparatos elevadores,Seguridad  y Protección Civil. Mantenimiento aparatos elevadores,,130,2,2436.15,0,2436.15,924.51
,,,,,,,,,,,
,130,21305,"Seguridad  y Protección Civil..Mantenimiento equip.seg., vigilancia  y alarmas","Seguridad  y Protección Civil..Mantenimiento equip.seg., vigilancia  y alarmas",,130,2,37000,0,37000,38512.18
,,,,,,,,,,,
,130,21310,Seguridad  y Protección Civil. Mantenimiento  Cámaras Control de Tráfico,Seguridad  y Protección Civil. Mantenimiento  Cámaras Control de Tráfico,,130,2,50000,0,50000,0
,,,,,,,,,,,
,130,21400,Seguridad  y Protección Civil. Mantenimiento y reparación de vehículos,Seguridad  y Protección Civil. Mantenimiento y reparación de vehículos,,130,2,13000,0,13000,10148.03
,,,,,,,,,,,
