,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2013,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,130,22607,Seguridad  y Protección Civil..Oposiciones y pruebas selectivas,Seguridad  y Protección Civil..Oposiciones y pruebas selectivas,,130,2,1000,0,1000,1073.35
,,,,,,,,,,,
,130,22610,Seguridad  y Protección Civil. Festejos populares (Patrona G. Civil y Policía Local),Seguridad  y Protección Civil. Festejos populares (Patrona G. Civil y Policía Local),,130,2,2000,0,2000,1688.5
,,,,,,,,,,,
,130,22642,Seguridad  y Protección Civil..Mantenimiento unidad canina,Seguridad  y Protección Civil..Mantenimiento unidad canina,,130,2,6840,0,6840,4180
,,,,,,,,,,,
,130,22699,Seguridad  y Protección Civil. Otros gastos diversos,Seguridad  y Protección Civil. Otros gastos diversos,,130,2,3500,0,3500,2679.29
,,,,,,,,,,,
,130,22703,Seguridad  y Protección Civil. Tramitación de expedientes sancionadores,Seguridad  y Protección Civil. Tramitación de expedientes sancionadores,,130,2,37500,2854.69,40354.69,17127.48
,,,,,,,,,,,
,130,22704,"Seguridad  y Protección Civil. Custodia, depósito y almacenaje","Seguridad  y Protección Civil. Custodia, depósito y almacenaje",,130,2,15000,0,15000,16914.22
,,,,,,,,,,,
,130,22715,Seguridad  y Protección Civil. Limpieza en edificios,Seguridad  y Protección Civil. Limpieza en edificios,,130,2,19698.41,0,19698.41,19698.41
,,,,,,,,,,,
,130,22799,Seguridad  y Protección Civil. trabajos realizados por otras empresas y profesionales,Seguridad  y Protección Civil. trabajos realizados por otras empresas y profesionales,,130,2,2274.8,0,2274.8,2274.8
,,,,,,,,,,,
,130,62305,Seguridad  y Protección Civil..Señalización,Seguridad  y Protección Civil..Señalización,,130,6,0,13284.51,13284.51,11890.43
,,,,,,,,,,,
,130,62308,Seguridad  y Protección Civil..Cámaras control de tráfico,Seguridad  y Protección Civil..Cámaras control de tráfico,,130,6,3000,-2500,500,423.5
,,,,,,,,,,,
,130,62903,Seguridad  y Protección Civil..Circuito Educación Vial,Seguridad  y Protección Civil..Circuito Educación Vial,,130,629,5000,2500,7500,7338.31
,,,,,,,,,,,
,134,21300,Protección civil. Mantenimiento equipos de transmisión,Protección civil. Mantenimiento equipos de transmisión,,134,2,500,0,500,0
,,,,,,,,,,,
,134,21301,"Protecció civil. Mantenimiento, maquinaria, instalacciones y utillaje","Protecció civil. Mantenimiento, maquinaria, instalacciones y utillaje",,134,2,500,0,500,0
,,,,,,,,,,,
,134,21400,Protección civil. Mantenimiento y reparación de vehículos,Protección civil. Mantenimiento y reparación de vehículos,,134,2,1400,0,1400,580.49
,,,,,,,,,,,
,134,22002,"Protección civil. Material, informático no inventariable","Protección civil. Material, informático no inventariable",,134,2,200,0,200,0
,,,,,,,,,,,
,134,22103,Protección civil. Combustibles y carburantes,Protección civil. Combustibles y carburantes,,134,2,1000,0,1000,582.3
,,,,,,,,,,,
,134,22104,Protección civil. Vestuario,Protección civil. Vestuario,,134,2,3500,0,3500,6969.62
,,,,,,,,,,,
,134,22122,Protección civil. Material técnico sanitario primeros auxilios,Protección civil. Material técnico sanitario primeros auxilios,,134,2,500,0,500,0
,,,,,,,,,,,
,134,22123,Protección civil. Material contra incendios,Protección civil. Material contra incendios,,134,2,1000,0,1000,0
,,,,,,,,,,,
,134,22199,Protección civil. Otros suministros,Protección civil. Otros suministros,,134,2,100,0,100,40
,,,,,,,,,,,
,134,22406,Protección civil. Seguros protección civil,Protección civil. Seguros protección civil,,134,2,9500,0,9500,1065.59
,,,,,,,,,,,
,134,22699,Protección civil. Otros gastos diversos,Protección civil. Otros gastos diversos,,134,2,2500,0,2500,2054.72
,,,,,,,,,,,
,134,22707,Protección civil. Formación protección civil,Protección civil. Formación protección civil,,134,2,1000,0,1000,0
,,,,,,,,,,,
,135,22501,Servicio de extinción de incendios..Servicio Extinción de Incendios,Servicio de extinción de incendios..Servicio Extinción de Incendios,,135,2,688503.44,0,688503.44,344251.72
,,,,,,,,,,,
,151,12000,Urbanismo. Sueldos del Grupo A1,Urbanismo. Sueldos del Grupo A1,,151,1,31053.4,0,31053.4,43994.99
,,,,,,,,,,,
,151,12001,Urbanismo. Sueldos del Grupo A2,Urbanismo. Sueldos del Grupo A2,,151,1,67128.6,0,67128.6,54690.94
,,,,,,,,,,,
,151,12003,Urbanismo. Sueldos del Grupo C1,Urbanismo. Sueldos del Grupo C1,,151,1,60481.68,0,60481.68,54094.27
,,,,,,,,,,,
,151,12004,Urbanismo. Sueldos del Grupo C2,Urbanismo. Sueldos del Grupo C2,,151,1,41947.5,0,41947.5,41162.27
,,,,,,,,,,,
,151,12006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,15885.56,0,15885.56,17888.32
,,,,,,,,,,,
,151,12100,Urbanismo. Complemento de destino,Urbanismo. Complemento de destino,,151,1,125444.34,0,125444.34,124771.75
,,,,,,,,,,,
,151,12101,Urbanismo. Complemento específico,Urbanismo. Complemento específico,,151,1,228571.84,0,228571.84,232056.2
,,,,,,,,,,,
,151,13000,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,151,13002,Urbanismo. Otras remuneraciones,Urbanismo. Otras remuneraciones,,151,1,10148.74,0,10148.74,10148.74
,,,,,,,,,,,
,151,13006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,565.74,0,565.74,565.74
,,,,,,,,,,,
,151,13100,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,151,13102,Urbanismo. Otras Remuneraciones,Urbanismo. Otras Remuneraciones,,151,1,9361.94,0,9361.94,9361.94
,,,,,,,,,,,
,151,13106,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,377.16,0,377.16,377.16
,,,,,,,,,,,
,151,21303,Urbanismo. Mantenimiento aparatos elevadores,Urbanismo. Mantenimiento aparatos elevadores,,151,2,2500,14.13,2514.13,1546.74
,,,,,,,,,,,
,151,21400,Urbanismo. Mantenimiento y reparación de vehículos,Urbanismo. Mantenimiento y reparación de vehículos,,151,2,0,0,0,719.95
,,,,,,,,,,,
,151,22001,"Urbanismo..Prensa, revistas, libros y otras publicaciones","Urbanismo..Prensa, revistas, libros y otras publicaciones",,151,2,700,0,700,691.6
,,,,,,,,,,,
,151,22199,Urbanismo. Otros suministros,Urbanismo. Otros suministros,,151,2,500,0,500,388.95
,,,,,,,,,,,
,151,22401,Urbanismo. Primes de seguros de vehículos,Urbanismo. Primes de seguros de vehículos,,151,2,3800,0,3800,511.02
,,,,,,,,,,,
,151,22699,Urbanismo. Otros gastos diversos,Urbanismo. Otros gastos diversos,,151,2,3800,0,3800,1551.3
,,,,,,,,,,,
,151,23101,Urbanismo..Locomoción del personal,Urbanismo..Locomoción del personal,,151,2,600,0,600,719.19
,,,,,,,,,,,
,151,60906,Urbanismo..Plantación Pinar en EE-1 y EE-1 SAU6 Zarzalejo,Urbanismo..Plantación Pinar en EE-1 y EE-1 SAU6 Zarzalejo,,151,6,0,27212.9,27212.9,27212.9
,,,,,,,,,,,
,151,61105,Urbanismo. Asfaltado rotondas,Urbanismo. Asfaltado rotondas,,151,611,59000,0,59000,0
,,,,,,,,,,,
,151,61114,Urbanismo..Implantación de Huertos Municipales,Urbanismo..Implantación de Huertos Municipales,,151,611,0,180018.49,180018.49,180018.49
,,,,,,,,,,,
,151,61115,"Urbanismo..Mejora vial acceso finca""El Bosque""","Urbanismo..Mejora vial acceso finca""El Bosque""",,151,611,0,188185.77,188185.77,188185.77
,,,,,,,,,,,
,151,62200,Urbanismo..Acondicionamiento edificio calle Potro,Urbanismo..Acondicionamiento edificio calle Potro,,151,622,0,512880.55,512880.55,0
,,,,,,,,,,,
,151,62207,Urbanismo..Construcción Centro de Protección Animal,Urbanismo..Construcción Centro de Protección Animal,,151,622,0,899883.81,899883.81,899883.81
,,,,,,,,,,,
,151,62208,Urbanismo..Constucción Depósito Municipal-Grua,Urbanismo..Constucción Depósito Municipal-Grua,,151,622,0,1233378.1,1233378.1,1233378.1
,,,,,,,,,,,
,151,62312,Urbanismo. Sonómetro para urbanismo,Urbanismo. Sonómetro para urbanismo,,151,623,6000,0,6000,4994.88
,,,,,,,,,,,
,151,68100,Urbanismo. Adecuación y limpieza de parcelas,Urbanismo. Adecuación y limpieza de parcelas,,151,6,91000,0,91000,0
,,,,,,,,,,,
,151,68200,Urbanismo..Acondicionamiento interior de El Torreón,Urbanismo..Acondicionamiento interior de El Torreón,,151,6,0,24982.43,24982.43,24982.44
,,,,,,,,,,,
,160,11000,Servicios Generales Retribuciones básicas,Servicios Generales Retribuciones básicas,,160,1,56000,0,56000,56040
,,,,,,,,,,,
,160,12001,Servicios Generales Sueldos del Grupo A2,Servicios Generales Sueldos del Grupo A2,,160,1,13425.72,0,13425.72,12207.14
,,,,,,,,,,,
,160,12003,Servicios Generales Sueldos del Grupo C1,Servicios Generales Sueldos del Grupo C1,,160,1,10080.28,0,10080.28,9884.84
,,,,,,,,,,,
,160,12004,Servicios Generales Sueldos del Grupo C2,Servicios Generales Sueldos del Grupo C2,,160,1,8389.5,0,8389.5,8378.58
,,,,,,,,,,,
,160,12006,Servicios Generales Trienios,Servicios Generales Trienios,,160,1,6401.65,0,6401.65,6176.48
,,,,,,,,,,,
,160,12100,Servicios Generales Complemento de destino,Servicios Generales Complemento de destino,,160,1,19572,0,19572,18165.15
,,,,,,,,,,,
,160,12101,Servicios Generales Complemento específico,Servicios Generales Complemento específico,,160,1,33012.7,0,33012.7,35410.08
,,,,,,,,,,,
,160,13000,Servicios Generales Salario Base,Servicios Generales Salario Base,,160,1,102191.74,0,102191.74,94111.74
,,,,,,,,,,,
,160,13002,Servicios Generales Otras remuneraciones,Servicios Generales Otras remuneraciones,,160,1,183710.1,0,183710.1,179510.82
,,,,,,,,,,,
,160,13006,Servicios Generales Trienios,Servicios Generales Trienios,,160,1,17789.81,0,17789.81,16643.16
,,,,,,,,,,,
,160,13100,Servicios Generales Salario Base,Servicios Generales Salario Base,,160,1,15357.16,0,15357.16,15357.16
,,,,,,,,,,,
,160,13102,Servicios Generales Otras Remuneraciones,Servicios Generales Otras Remuneraciones,,160,1,26250.84,0,26250.84,26250.84
,,,,,,,,,,,
,160,13106,Servicios Generales Trienios,Servicios Generales Trienios,,160,1,727.38,0,727.38,848.61
,,,,,,,,,,,
,160,15100,Servicios Generales Gratificaciones,Servicios Generales Gratificaciones,,160,1,15000,0,15000,12040.58
,,,,,,,,,,,
,160,21001,Servicios Generales Mantenimiento estación de bombeo,Servicios Generales Mantenimiento estación de bombeo,,160,2,3558.79,0,3558.79,0
,,,,,,,,,,,
,160,21102,Servicios Generales Otras reparaciones y mantenimientos,Servicios Generales Otras reparaciones y mantenimientos,,160,2,38000,0,38000,63683.31
,,,,,,,,,,,
,160,21301,"Servicios Generales Mantenimiento, maquinaria, instalacciones y utillaje","Servicios Generales Mantenimiento, maquinaria, instalacciones y utillaje",,160,2,20000,0,20000,7687.41
,,,,,,,,,,,
,160,21400,Servicios Generales Mantenimiento y reparación de vehículos,Servicios Generales Mantenimiento y reparación de vehículos,,160,2,8000,0,8000,11329.01
,,,,,,,,,,,
,160,22001,"Servicios Generales Prensa, revistas, libros y otras publicaciones","Servicios Generales Prensa, revistas, libros y otras publicaciones",,160,2,150,0,150,132
,,,,,,,,,,,
,160,22100,Servicios Generales Energía eléctrica,Servicios Generales Energía eléctrica,,160,2,933592.63,0,933592.63,957615.23
,,,,,,,,,,,
,160,22101,Servicios Generales Agua,Servicios Generales Agua,,160,2,318845.79,0,318845.79,356223.11
,,,,,,,,,,,
,160,22103,Servicios Generales Combustibles y carburantes,Servicios Generales Combustibles y carburantes,,160,2,51000,0,51000,34123.89
,,,,,,,,,,,
,160,22104,Servicios Generales Vestuario,Servicios Generales Vestuario,,160,2,5000,0,5000,4947.45
,,,,,,,,,,,
,160,22110,Servicios Generales Productos de limpieza y aseo,Servicios Generales Productos de limpieza y aseo,,160,2,1200,0,1200,1777.44
,,,,,,,,,,,
,160,22112,"Servicios Generales Suministros de material electrónico, eléctrico y de telecomunicaciones","Servicios Generales Suministros de material electrónico, eléctrico y de telecomunicaciones",,160,2,8000,0,8000,18117.87
,,,,,,,,,,,
,160,22113,Servicios Generales Manutención de animales,Servicios Generales Manutención de animales,,160,2,300,0,300,0
,,,,,,,,,,,
,160,22118,Servicios Generales Suministros contrato aire acondicionado,Servicios Generales Suministros contrato aire acondicionado,,160,2,4500,0,4500,4539.22
,,,,,,,,,,,
,160,22127,Servicios Generales.Suministro de materiales Trabajos Temporales de Colaboración Social,Servicios Generales.Suministro de materiales Trabajos Temporales de Colaboración Social,,160,2,0,0,0,4642.07
,,,,,,,,,,,
,160,22199,Servicios Generales Otros suministros,Servicios Generales Otros suministros,,160,2,24351.55,0,24351.55,24502.48
,,,,,,,,,,,
