#EJECUCIÓN INGRESOS  - EJERCICIO 2013,,,,,,,
,,,,,,,
#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013,,45040,Subvención  BESCAM,0,0,0,0
2013,,45051,Subvención para trabajos temporales de colaboración social,0,39600,39600,39600
2013,,45080,Otras subvenciones corrientes (Juzgado de Paz),3306,0,3306,3306
2013,,45081,Subvención Deportes,31172.37,0,31172.37,6486
2013,,45084,Subvención ADL,25565.41,0,25565.41,25565.41
2013,,45085,Cursos de Formación para desempleados,81265.89,0,81265.89,0
2013,,45086,Plan Prisma,374734.06,0,374734.06,0
2013,,45089,Cursos de Formación Profesional para el Empleo,0,27089.29,27089.29,81265.89
2013,,47000,Convenio Madrid Xanadú,0,0,0,1500
2013,,47001,Suvencion Xanadú equipos deportivos,0,0,0,2000
2013,,52000,Intereses de depósitos,250000,0,250000,358873.44
2013,,53410,Ingresos de dividendos,0,0,0,130521.75
2013,,54000,Rentas de bienes inmuebles. Alquiler oficinas a EMUVISA,14000,0,14000,9619.21
2013,,55002,De concesiones administrativas Kiosko de prensa,6000,0,6000,1600.56
2013,,55004,Otras concesiones administrativas con contraprestación periódica,2000,0,2000,3189.61
2013,,55200,Derecho de superficie con contraprestación periódica. Colegio Sol  y Nieve,20000,0,20000,0
2013,,55201,Derecho de superficie . El Olivar,17000,0,17000,17369.6
2013,,55202,Canon huertos familiares,2500,0,2500,2800
2013,,83000,Reintegro de préstamos al personal,18000,0,18000,19041.73
2013,,87003,R.Tª para inversiones en P.M.S.,0,2553661.5,2553661.5,0
2013,,87010,Remanente de Tesorería para gastos con financiación afectada,0,998070,998070,0
,,,,,,,
#,,,TOTAL,23277583.35,4459747.28,27737330.63,26509213.93
