,,,,,,,,,,,
#EJECUCIÓN GASTOS - EJERCICIO 2015,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,130,22610,Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),,130,2,2000,0,2000,1792.01
,,,,,,,,,,,
,130,22699,Seguridad  y P. Civil. Otros gastos diversos,Seguridad  y P. Civil. Otros gastos diversos,,130,2,3000,0,3000,1115.25
,,,,,,,,,,,
,130,22703,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,,130,2,34255.1,0,34255.1,34254.99
,,,,,,,,,,,
,130,22715,Seguridad  y P. Civil. Limpieza en edificios,Seguridad  y P. Civil. Limpieza en edificios,,130,2,18000,0,18000,17563.58
,,,,,,,,,,,
,130,22734,Seguridad  y P. Civil..Servicio de lavandería,Seguridad  y P. Civil..Servicio de lavandería,,130,2,0,0,0,774.41
,,,,,,,,,,,
,130,22755,Seguridad  y P. Civil. Servicio de Grua,Seguridad  y P. Civil. Servicio de Grua,,130,2,98220,0,98220,4652.78
,,,,,,,,,,,
,130,60900,Seguridad y P. Civil .Instalacción de Semáforos,Seguridad y P. Civil .Instalacción de Semáforos,,130,60900,0,72000,72000,0
,,,,,,,,,,,
,130,61109,Seguridad  y P. Civil..Pintura de Viales,Seguridad  y P. Civil..Pintura de Viales,,,,0,59029.85,59029.85,59027.36
,,,,,,,,,,,
,130,62305,Seguridad  y P. Civil. Señalización,Seguridad  y P. Civil. Señalización,,130,62305,15000,0,15000,8011.17
,,,,,,,,,,,
,130,62308,Seguridad  y P. Civil. Cámaras control de tráfico,Seguridad  y P. Civil. Cámaras control de tráfico,,130,62308,6000,0,6000,0
,,,,,,,,,,,
,130,62319,Seguridad  y P. Civil.Máquina Trazadora líneas de pintura,Seguridad  y P. Civil.Máquina Trazadora líneas de pintura,,130,62319,0,9190.29,9190.29,9190.29
,,,,,,,,,,,
,135,21300,Protección civil. Mantenimiento equipos de transmisión,Protección civil. Mantenimiento equipos de transmisión,,135,2,2000,0,2000,0
,,,,,,,,,,,
,135,21301,"Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje","Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje",,135,2,1000,0,1000,2284.92
,,,,,,,,,,,
,135,21400,Protección civil. Mantenimiento y reparación de vehículos,Protección civil. Mantenimiento y reparación de vehículos,,135,2,5000,0,5000,4302.41
,,,,,,,,,,,
,135,22002,"Protección civil. Material, informático no inventariable","Protección civil. Material, informático no inventariable",,135,2,500,0,500,0
,,,,,,,,,,,
,135,22103,Protección civil. Combustibles y carburantes,Protección civil. Combustibles y carburantes,,135,2,1000,0,1000,0
,,,,,,,,,,,
,135,22104,Protección civil. Vestuario,Protección civil. Vestuario,,135,2,7000,0,7000,10315.98
,,,,,,,,,,,
,135,22122,Protección civil. Material técnico sanitario primeros auxilios,Protección civil. Material técnico sanitario primeros auxilios,,135,2,3000,0,3000,2997.23
,,,,,,,,,,,
,135,22123,Protección civil. Material contra incendios,Protección civil. Material contra incendios,,135,2,3000,0,3000,0
,,,,,,,,,,,
,135,22199,Protección civil. Otros suministros,Protección civil. Otros suministros,,135,2,100,0,100,0
,,,,,,,,,,,
,135,22200,Protección civil. Servicios de Telecomunicaciones,Protección civil. Servicios de Telecomunicaciones,,135,2,1000,0,1000,0
,,,,,,,,,,,
,135,22406,Protección civil. Seguros protección civil,Protección civil. Seguros protección civil,,135,2,8200.52,0,8200.52,2458.69
,,,,,,,,,,,
,135,22699,Protección civil. Otros gastos diversos,Protección civil. Otros gastos diversos,,135,2,3000,0,3000,4260.19
,,,,,,,,,,,
,135,22707,Protección civil. Formación protección civil,Protección civil. Formación protección civil,,135,2,5000,0,5000,2160
,,,,,,,,,,,
,135,62304,"Protección civil. Maquinaria, instalaciones técnicas y utillaje","Protección civil. Maquinaria, instalaciones técnicas y utillaje",,135,62304,11500,4800,16300,15546.54
,,,,,,,,,,,
,135,62306,Protección civil. Utillaje Seguridad Ciudadana,Protección civil. Utillaje Seguridad Ciudadana,,135,62306,6800,0,6800,0
,,,,,,,,,,,
,135,62402,Protección civil. Elementos de transporte,Protección civil. Elementos de transporte,,135,62402,39000,0,39000,34431.76
,,,,,,,,,,,
,135,62508,"Protección civil. Mobilliario, Enseres y Equipamiento","Protección civil. Mobilliario, Enseres y Equipamiento",,135,62508,4800,-4800,0,0
,,,,,,,,,,,
,135,62605,Protección civil. Adquisición de  Equipos Informaticos,Protección civil. Adquisición de  Equipos Informaticos,,135,62605,1000,0,1000,0
,,,,,,,,,,,
,136,22501,Servicio de prevención y extinción de incendios. Tributos de las Comunidades Autónomas,Servicio de prevención y extinción de incendios. Tributos de las Comunidades Autónomas,,136,22501,831050,0,831050,392525.07
,,,,,,,,,,,
,151,12000,Urbanismo. Sueldos del Grupo A1,Urbanismo. Sueldos del Grupo A1,,151,1,31053.4,0,31053.4,27099.57
,,,,,,,,,,,
,151,12001,Urbanismo. Sueldos del Grupo A2,Urbanismo. Sueldos del Grupo A2,,151,1,53702.88,0,53702.88,44930.87
,,,,,,,,,,,
,151,12003,Urbanismo. Sueldos del Grupo C1,Urbanismo. Sueldos del Grupo C1,,151,1,70561.96,0,70561.96,64370.57
,,,,,,,,,,,
,151,12004,Urbanismo. Sueldos del Grupo C2,Urbanismo. Sueldos del Grupo C2,,151,1,33558,0,33558,36465.01
,,,,,,,,,,,
,151,12006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,27203.06,0,27203.06,32696.98
,,,,,,,,,,,
,151,12100,Urbanismo. Complemento de destino,Urbanismo. Complemento de destino,,151,1,116297.58,0,116297.58,108527.3
,,,,,,,,,,,
,151,12101,Urbanismo. Complemento específico,Urbanismo. Complemento específico,,151,1,221302.66,0,221302.66,229787.38
,,,,,,,,,,,
,151,13000,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,151,13002,Urbanismo. Otras remuneraciones,Urbanismo. Otras remuneraciones,,151,1,10148.74,0,10148.74,11007.31
,,,,,,,,,,,
,151,13006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,754.32,0,754.32,754.32
,,,,,,,,,,,
,151,13100,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,151,13102,Urbanismo. Otras Remuneraciones,Urbanismo. Otras Remuneraciones,,151,1,9361.94,0,9361.94,9361.94
,,,,,,,,,,,
,151,13106,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,565.74,0,565.74,565.74
,,,,,,,,,,,
,151,21300,Urbanismo: Mantenimiento equipos de transmisión (sonómetro),Urbanismo: Mantenimiento equipos de transmisión (sonómetro),,151,2,500,0,500,532.4
,,,,,,,,,,,
,151,21303,Urbanismo. Mantenimiento aparatos elevadores,Urbanismo. Mantenimiento aparatos elevadores,,151,2,813.35,0,813.35,794.69
,,,,,,,,,,,
,151,21400,Urbanismo. Mantenimiento y reparación de vehículos,Urbanismo. Mantenimiento y reparación de vehículos,,151,2,2000,0,2000,0
,,,,,,,,,,,
,151,21600,Urbanismo: Mantenimiento equipos para procesos de información,Urbanismo: Mantenimiento equipos para procesos de información,,151,2,2000,0,2000,0
,,,,,,,,,,,
,151,22001,"Urbanismo:a..Prensa, revistas, libros y otras publicaciones","Urbanismo:a..Prensa, revistas, libros y otras publicaciones",,151,2,0,0,0,1894.3
,,,,,,,,,,,
,151,22100,Urbanismo. Energía eléctrica,Urbanismo. Energía eléctrica,,151,2,20000,0,20000,19132.23
,,,,,,,,,,,
,151,22101,Urbanismo. Agua,Urbanismo. Agua,,151,2,100,0,100,1231.94
,,,,,,,,,,,
,151,22199,Urbanismo. Otros suministros,Urbanismo. Otros suministros,,151,2,500,0,500,721.37
,,,,,,,,,,,
,151,22400,Urbanismo. Primas de seguros,Urbanismo. Primas de seguros,,151,2,3200,0,3200,5663.9
,,,,,,,,,,,
,151,22401,Urbanismo. Primes de seguros de vehículos,Urbanismo. Primes de seguros de vehículos,,151,2,700,0,700,562.31
,,,,,,,,,,,
,151,22604,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Jurídicos, contenciosos","Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Jurídicos, contenciosos",,151,2,0,0,0,3771.57
,,,,,,,,,,,
,151,22699,Urbanismo. Otros gastos diversos,Urbanismo. Otros gastos diversos,,151,2,3000,0,3000,2300.2
,,,,,,,,,,,
,151,22713,Urbanismo. Control de calidad,Urbanismo. Control de calidad,,151,2,3000,0,3000,0
,,,,,,,,,,,
,151,22715,Urbanismo: Limpieza en edificios,Urbanismo: Limpieza en edificios,,151,2,30207.29,332.75,30540.04,13408.07
,,,,,,,,,,,
,151,22716,Urbanismo:..Servicio de mensajería,Urbanismo:..Servicio de mensajería,,151,2,0,0,0,219.76
,,,,,,,,,,,
,151,23101,Urbanismo:  Locomoción del personal,Urbanismo:  Locomoción del personal,,151,2,700,0,700,482.24
,,,,,,,,,,,
,151,45100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..IRIS. En cumplimiento de convenio suscrito en materia de realojo Río Guadarrama-","Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..IRIS. En cumplimiento de convenio suscrito en materia de realojo Río Guadarrama-",,,,0,4000000,4000000,0
,,,,,,,,,,,
